epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3493.81,0.85965,0.89998,0.00326,0.9151,0.86916,0.95202,0.8001,0.6354,0.4339,0.00292,7.4256e-05,7.4256e-05,7.4256e-05
58,3556.8,0.85643,0.89572,0.00325,0.91607,0.86896,0.95228,0.80122,0.63302,0.43332,0.0029,6.9207e-05,6.9207e-05,6.9207e-05
59,3618.33,0.85483,0.89203,0.00322,0.9118,0.87427,0.95286,0.80317,0.62474,0.42918,0.00286,6.4158e-05,6.4158e-05,6.4158e-05
60,3682.54,0.85617,0.89525,0.00324,0.91411,0.87179,0.95331,0.80379,0.62762,0.42822,0.00288,5.9109e-05,5.9109e-05,5.9109e-05
61,3736.91,0.75261,0.64703,0.0033,0.91478,0.86892,0.95089,0.79669,0.64249,0.43735,0.00294,5.406e-05,5.406e-05,5.406e-05
62,3785.62,0.74167,0.62533,0.00329,0.91566,0.87117,0.95237,0.80125,0.62955,0.4305,0.0029,4.9011e-05,4.9011e-05,4.9011e-05
63,3842.87,0.73463,0.61223,0.00322,0.91419,0.87472,0.95309,0.79849,0.6412,0.42957,0.00295,4.3962e-05,4.3962e-05,4.3962e-05
64,3897.93,0.73515,0.61664,0.00322,0.91375,0.87656,0.95374,0.8044,0.62526,0.4252,0.00286,3.8913e-05,3.8913e-05,3.8913e-05
65,3948.94,0.73296,0.61032,0.00319,0.9181,0.87363,0.95409,0.80328,0.63061,0.42442,0.00289,3.3864e-05,3.3864e-05,3.3864e-05
66,4009.25,0.73153,0.61003,0.00321,0.91915,0.87435,0.95437,0.80174,0.6349,0.42415,0.00291,2.8815e-05,2.8815e-05,2.8815e-05
67,4060.39,0.7299,0.60603,0.00319,0.91815,0.87582,0.95487,0.80381,0.63039,0.42171,0.00289,2.3766e-05,2.3766e-05,2.3766e-05
68,4109.29,0.73423,0.61002,0.00317,0.91796,0.8765,0.95486,0.80353,0.63071,0.42217,0.00289,1.8717e-05,1.8717e-05,1.8717e-05
69,4161.66,0.72925,0.60716,0.00315,0.91925,0.87641,0.95479,0.80279,0.63429,0.42325,0.0029,1.3668e-05,1.3668e-05,1.3668e-05
70,4211.21,0.73012,0.60681,0.00318,0.92215,0.8728,0.95507,0.80389,0.63121,0.42091,0.00289,8.619e-06,8.619e-06,8.619e-06
